
RMS,Kurtosis,CrestFactor,P2P,CurrentAmp,DominantFreq,SpectralEnergy,Temp,Label
4.567,-0.331,1.874,8.207,0.00,4.95,896.31,33.81,0
4.748,0.013,2.174,9.860,0.91,4.76,989.59,33.81,0
6.110,-1.220,1.891,10.341,0.39,3.43,1083.95,33.81,0
4.536,-0.222,2.078,8.940,0.36,7.31,991.99,33.81,0
4.615,0.536,2.315,9.746,0.00,5.83,1042.99,33.81,0
5.008,-0.221,2.327,11.304,1.11,6.82,1183.80,33.81,0
4.477,0.210,2.255,9.476,0.55,6.43,1053.06,33.81,0
4.656,0.367,2.232,9.513,1.28,6.03,1049.05,33.75,0
4.787,0.554,2.520,11.178,1.57,6.64,1146.26,33.75,0
4.538,0.792,2.271,9.385,0.63,5.91,987.97,33.75,0
4.615,0.356,2.208,9.335,0.98,6.06,1048.63,33.75,0
4.795,0.191,2.223,10.117,0.76,6.32,1102.21,33.75,0
4.511,0.911,2.397,9.739,0.44,5.71,923.51,33.75,0
4.595,-0.090,2.137,8.971,0.00,6.24,1045.16,33.75,0
4.537,1.299,2.417,10.063,0.41,6.31,979.71,33.75,0
4.552,1.226,2.330,10.090,0.19,6.50,1073.36,33.81,0
4.729,-0.448,1.953,8.733,1.22,7.23,1127.40,33.81,0
4.646,-0.178,2.292,10.492,1.11,5.30,1039.49,33.75,0
4.960,1.064,2.474,11.786,0.32,6.45,1149.02,33.81,0
4.542,-0.489,2.066,8.867,0.86,6.36,1094.28,33.81,0
4.959,0.690,2.362,10.690,1.34,6.94,1079.64,33.81,0
4.533,-0.484,1.861,7.733,0.91,5.45,963.40,33.81,0
4.853,1.893,2.677,12.349,0.75,7.84,1222.88,33.81,0
4.600,0.334,2.171,8.825,0.60,5.71,994.32,33.88,0
4.643,-0.460,2.076,9.031,2.11,5.90,1086.20,33.88,0
