
RMS,Kurtosis,CrestFactor,P2P,CurrentAmp,DominantFreq,SpectralEnergy,Temp,Label
4.438,0.027,2.095,8.697,1.79,4.26,942.88,32.38,0
4.216,-0.212,2.175,8.779,0.30,7.88,1085.06,32.38,0
4.228,-0.305,2.159,7.910,1.70,6.13,1023.45,32.38,0
4.558,-0.640,1.987,8.611,0.83,5.14,1045.20,32.38,0
4.380,-0.443,2.009,8.272,1.90,7.59,1023.03,32.38,0
4.386,-0.056,1.987,7.861,0.67,7.06,949.54,32.38,0
4.382,-0.439,2.064,8.613,0.63,4.57,920.43,32.44,0
4.406,-0.262,2.014,8.354,2.60,6.82,939.81,32.44,0
4.484,0.094,2.114,8.129,0.20,6.22,989.03,32.44,0
4.468,-0.315,1.988,8.485,1.28,5.59,978.58,32.44,0
4.229,0.380,2.247,9.039,0.35,6.66,997.58,32.44,0
4.269,-0.632,1.940,7.807,0.82,6.27,934.77,32.44,0
4.231,-0.236,1.908,7.308,0.82,6.27,901.72,32.50,0
4.194,-0.400,2.076,8.214,0.58,6.61,1024.34,32.50,0
4.352,-0.287,2.065,8.323,0.00,6.04,983.42,32.50,0
4.118,0.031,2.075,7.648,0.34,5.83,907.46,32.44,0
4.335,0.206,2.176,8.683,0.59,6.26,922.86,32.50,0
4.494,-0.441,1.940,7.893,1.10,7.17,1002.47,32.44,0
4.502,0.266,2.295,10.002,1.32,5.97,1070.74,32.44,0
4.626,0.149,2.145,9.614,1.03,5.50,1079.00,32.44,0
4.264,-0.405,2.062,8.295,0.32,6.48,1025.93,32.44,0
4.605,0.192,2.271,9.883,0.91,7.91,1171.27,32.44,0
4.329,-0.146,2.168,8.799,0.92,6.50,1085.32,32.44,0
4.278,-0.359,2.034,8.237,0.93,6.86,974.24,32.44,0
4.405,-0.051,2.119,8.676,0.72,7.46,1201.77,32.44,0
4.356,-0.194,2.002,8.438,0.78,7.61,1021.10,32.44,0
4.480,-0.163,2.212,9.371,0.77,7.79,1105.89,32.44,0
4.427,0.028,2.262,9.628,0.84,6.18,1015.17,32.50,0
4.585,-0.043,2.156,9.232,0.20,6.15,1081.43,32.44,0
4.452,0.378,2.321,9.638,0.90,6.10,1117.38,32.44,0
4.541,-0.181,1.956,8.243,0.63,6.09,995.38,32.44,0
4.524,0.546,2.247,9.705,0.75,6.83,1052.66,32.44,0
4.364,0.231,2.137,8.741,0.60,7.43,1132.38,32.44,0
4.528,-0.259,2.235,9.934,0.34,6.22,969.17,32.44,0
4.402,-0.078,2.118,8.675,0.68,6.34,968.16,32.44,0
4.554,0.027,2.201,9.269,0.15,7.43,1136.21,32.44,0
4.552,0.352,2.260,9.912,0.54,6.12,1011.36,32.44,0
4.551,0.593,2.212,9.405,0.28,6.09,1048.94,32.44,0
4.710,0.067,2.172,9.346,0.68,6.19,1114.91,32.44,0
4.531,0.268,2.054,8.599,0.77,6.56,1035.38,32.44,0
4.512,-0.234,2.117,9.056,0.29,5.90,1066.65,32.44,0
4.665,-0.154,2.116,9.386,0.40,5.48,1060.01,32.44,0
4.468,0.628,2.260,9.452,0.81,6.89,1017.84,32.44,0
4.741,0.374,2.228,9.762,0.00,5.81,1113.49,32.44,0
4.445,0.554,2.250,9.536,2.57,6.82,1095.53,32.44,0
4.686,0.402,2.314,10.594,0.50,6.95,1108.08,32.44,0
4.516,0.615,2.489,10.919,0.57,6.81,1145.39,32.44,0
4.364,1.193,2.494,9.954,0.58,5.86,1008.86,32.38,0
4.530,-0.035,2.057,8.660,1.51,6.88,1017.84,32.44,0
4.521,-0.077,2.258,9.527,0.00,5.55,1056.08,32.44,0
4.660,0.116,2.203,9.979,0.39,7.06,1134.20,32.44,0
4.639,0.272,2.196,9.746,1.01,5.27,1030.08,32.44,0
4.427,-0.036,2.247,9.238,0.95,6.09,1036.87,32.44,0
4.682,-0.048,1.982,8.722,0.00,6.57,1091.21,32.44,0
4.364,0.135,2.204,8.711,2.25,6.76,963.67,32.44,0
4.435,-0.292,2.049,8.180,0.34,6.61,1005.45,32.38,0
4.735,1.191,2.279,9.786,4.10,5.53,1054.78,32.38,0
4.473,0.112,2.159,9.190,2.12,6.28,1015.57,32.44,0
4.756,-0.289,2.078,9.015,1.74,7.52,1193.97,32.38,0
4.468,-0.427,1.994,8.012,2.09,7.47,1029.49,32.38,0
4.607,-0.307,2.158,9.494,1.68,5.70,1007.62,32.38,0
4.499,0.262,2.073,8.362,1.76,5.18,1010.63,32.38,0
4.541,0.076,2.140,9.034,0.21,7.29,1009.34,32.38,0
4.509,-0.576,1.882,8.173,2.12,6.90,1040.69,32.38,0
4.421,-0.097,2.025,8.199,0.00,6.59,1041.03,32.31,0
4.423,-0.212,2.215,9.472,1.14,6.99,1016.43,32.31,0
4.464,-0.040,2.156,9.105,0.96,5.84,1048.64,32.38,0
4.558,-0.228,2.067,8.439,0.88,6.21,1075.74,32.38,0
4.501,-0.277,2.007,8.191,0.52,6.29,1027.24,32.31,0
4.438,-0.230,2.144,9.014,2.21,6.36,1025.37,32.38,0
4.495,-0.658,1.851,7.856,0.91,7.16,971.32,32.38,0
4.381,-0.893,1.808,7.316,0.82,5.96,1031.67,32.38,0
4.532,-0.351,1.982,7.997,1.49,6.72,1032.70,32.38,0
4.497,-0.258,1.921,8.389,2.28,6.50,989.26,32.38,0
4.459,-0.404,2.083,8.621,0.61,7.02,1043.81,32.31,0
4.574,-0.039,2.070,8.915,0.47,6.66,1001.12,32.31,0
4.476,-0.420,2.028,8.649,0.63,6.08,1016.56,32.31,0
4.668,-0.458,2.024,9.223,0.84,6.48,1048.43,32.31,0
4.570,-0.262,2.158,9.379,0.63,6.80,1074.28,32.31,0
4.556,-0.764,2.068,8.548,0.48,7.08,1019.60,32.31,0
81.697,122.715,11.285,921.437,0.37,8.46,58806.16,32.31,0
4.627,-0.390,1.892,8.478,0.63,6.72,1065.60,32.31,0
4.640,-0.532,1.838,8.266,0.00,6.27,1034.72,32.31,0
4.528,-0.208,1.941,8.328,1.28,5.59,1043.66,32.31,0
4.669,-0.521,1.975,8.910,0.78,6.48,1091.26,32.31,0
4.588,-0.053,2.027,8.837,0.00,6.38,1017.14,32.31,0
4.490,-0.441,2.000,8.546,0.54,6.14,1004.35,32.31,0
4.738,-0.588,1.973,8.871,0.00,5.97,1080.98,32.31,0
4.385,-0.904,1.816,7.550,0.89,5.78,969.45,32.31,0
4.625,-0.724,2.036,8.715,0.86,5.83,1030.03,32.31,0
4.551,-0.657,1.963,8.283,1.00,6.47,1012.14,32.31,0
4.489,-0.649,1.904,7.870,0.76,6.78,996.65,32.31,0
4.605,-0.665,2.028,8.893,0.28,6.88,1092.93,32.31,0
4.362,-0.465,2.047,8.431,0.20,6.87,943.17,32.31,0
4.533,-0.716,1.834,7.900,0.91,5.75,978.60,32.31,0
4.453,-0.438,2.064,8.736,0.26,5.91,1008.85,32.31,0
4.536,-0.398,1.958,8.406,0.87,5.80,1041.04,32.31,0
4.562,0.364,2.426,10.616,1.33,5.18,1007.51,32.31,0
4.459,-0.412,1.953,8.119,0.16,6.90,992.36,32.38,0
4.765,-0.503,1.923,8.528,2.03,6.79,1041.67,32.38,0
4.545,-0.183,2.240,9.415,2.03,6.86,1042.20,32.38,0
4.739,-0.525,1.889,8.480,2.04,5.87,1005.87,32.38,0
4.623,-0.189,2.045,8.579,1.27,5.84,1028.11,32.38,0
4.746,0.275,2.435,11.084,2.58,5.19,1111.81,32.38,0
4.707,-0.326,2.016,8.528,0.92,7.07,1059.65,32.38,0
4.460,-0.372,2.127,9.276,0.76,6.02,982.65,32.38,0
5.654,1.246,2.628,14.179,0.58,3.53,1355.27,32.38,0
4.490,-0.437,1.950,8.319,0.22,6.05,952.28,32.38,0
66.637,122.567,11.275,751.033,0.77,3.69,37851.65,32.38,0
4.567,-0.578,2.022,9.081,2.37,6.84,1037.62,32.38,0
4.462,-0.553,1.973,8.219,1.87,6.36,963.65,32.38,0
4.363,-0.496,1.945,7.637,2.50,5.33,930.90,32.38,0
4.538,0.029,2.010,8.722,2.02,4.67,946.48,32.44,0
4.400,-0.244,2.059,8.849,0.35,6.71,1022.13,32.44,0
4.637,-0.614,1.968,8.141,0.21,6.74,1009.27,32.38,0
